Unnamed: 0,時間/館舍,女五舍,三號館,-電子顯微鏡館-,農化二館暨行政大樓,性別平等教育委員會,物理系液氮機室,-推廣中心-,-城鄉所-,大門口警衛室,一號館,一號館1F(戲劇系),一號館2F,一號館3F,動物標本館,漁業陳列館,-漁業生物實驗室-,女一舍,女三舍,女二舍,植物病毒研究室,植物溫室,植物標本館,椰林大道路燈前段,雜工班,二號館,2號館1F,2號館2F,2號館3F,datetime
18,18~19,10.63,---,10.92,33.88,0.38,0.09,27.55,3.63,1.89,---,5.19,---,61.03,1.54,0.07,0.0,23.21,26.56,25.03,2.16,3.21,5.81,---,---,---,5.8,77.11,86.82,2023-01-05 18:00:00
19,19~20,12.37,---,10.22,33.06,0.37,0.1,24.38,3.79,1.88,---,4.97,---,58.31,1.3,0.07,0.0,25.73,27.05,57.11,2.0,3.19,5.66,---,---,---,6.27,75.79,83.7,2023-01-05 19:00:00
20,20~21,11.0,---,9.1,31.56,0.37,0.11,19.74,3.84,1.84,---,5.06,---,58.13,1.31,0.05,0.0,26.32,24.82,41.05,2.03,3.04,5.47,---,---,---,6.25,73.95,81.94,2023-01-05 20:00:00
21,21~22,9.75,---,7.69,30.69,0.38,0.1,17.97,3.04,1.92,---,4.44,---,59.62,1.37,0.09,0.0,32.24,27.63,38.38,1.97,3.1,5.22,---,---,---,6.17,72.54,78.09,2023-01-05 21:00:00
22,22~23,11.0,---,6.8,29.0,0.38,0.1,10.02,3.54,1.87,---,3.49,---,58.49,1.35,0.08,0.0,38.94,34.97,112.92,1.94,3.1,5.46,---,---,---,6.48,72.52,75.46,2023-01-05 22:00:00
23,23~24,11.5,---,6.99,27.81,0.37,0.12,9.74,3.63,2.03,---,2.38,---,55.48,1.47,0.07,0.0,43.5,37.53,115.68,1.96,3.2,5.1,---,---,---,6.1,72.28,73.5,2023-01-05 23:00:00
0,0~1,16.31,---,7.05,27.5,0.38,0.1,10.98,3.53,1.97,---,2.5,---,54.73,1.12,0.07,0.0,30.38,35.8,37.34,1.91,3.07,5.28,---,---,---,5.87,71.94,71.36,2023-01-06 00:00:00
1,1~2,17.63,---,6.89,27.44,0.38,0.12,8.52,2.7,2.0,---,2.4,---,54.08,1.16,0.07,0.0,21.53,32.07,137.36,1.84,3.08,4.78,---,---,---,5.46,70.39,70.99,2023-01-06 01:00:00
2,2~3,7.25,---,7.0,27.25,0.38,0.12,8.58,2.67,1.94,---,2.04,---,52.75,1.15,0.07,0.0,27.31,19.34,52.3,1.85,3.1,3.87,---,---,---,6.22,70.9,69.46,2023-01-06 02:00:00
3,3~4,6.31,---,6.77,27.25,0.37,0.09,9.88,2.74,1.97,---,1.96,---,53.38,1.19,0.07,0.0,22.12,16.53,23.07,1.84,2.98,3.61,---,---,---,5.62,70.58,69.43,2023-01-06 03:00:00
4,4~5,6.06,---,7.2,27.56,0.38,0.01,10.77,2.71,2.01,---,2.11,---,52.84,1.11,0.08,0.0,16.91,14.89,20.14,1.94,3.07,3.71,---,---,---,5.71,70.66,69.29,2023-01-06 04:00:00
5,5~6,5.25,---,6.94,27.38,0.38,0.01,11.31,2.71,2.06,---,1.89,---,52.7,1.1,0.08,0.0,15.68,13.99,28.32,1.91,3.16,3.69,---,---,---,5.72,70.79,69.4,2023-01-06 05:00:00
6,6~7,5.07,---,7.86,28.43,0.35,0.01,9.44,1.96,1.54,---,1.94,---,54.43,1.48,0.1,0.0,16.97,13.03,46.06,1.96,3.91,3.28,---,---,---,5.62,69.93,70.74,2023-01-06 06:00:00
7,7~8,5.18,---,7.86,29.38,0.11,0.04,12.4,1.78,0.79,---,3.6,---,53.35,1.13,0.07,0.0,15.08,12.94,17.02,1.88,3.82,3.71,---,---,---,5.94,70.81,71.65,2023-01-06 07:00:00
8,8~9,5.5,---,8.64,34.5,0.11,0.03,20.19,2.02,1.97,---,8.0,---,54.4,1.08,0.07,0.0,14.88,14.57,17.58,1.91,3.57,4.97,---,---,---,6.83,71.95,72.77,2023-01-06 08:00:00
9,9~10,7.07,---,9.82,36.0,0.12,0.02,28.44,2.42,1.95,---,8.16,---,56.75,1.18,0.07,0.0,20.02,13.83,39.98,1.84,3.57,4.54,---,---,---,10.78,76.27,75.04,2023-01-06 09:00:00
10,10~11,6.93,---,10.08,37.75,0.11,0.07,28.99,3.08,1.91,---,6.94,---,61.06,1.24,0.06,0.0,20.78,16.79,43.91,1.97,4.13,5.28,---,---,---,10.74,76.05,77.68,2023-01-06 10:00:00
11,11~12,7.63,---,11.36,37.75,0.12,0.08,30.5,3.39,1.92,---,7.05,---,62.56,1.28,0.38,0.0,20.88,23.26,21.34,1.81,3.66,6.66,---,---,---,11.19,76.47,80.86,2023-01-06 11:00:00
12,12~13,7.31,---,10.99,38.0,0.12,0.08,28.92,4.34,1.91,---,6.38,---,62.13,1.18,0.26,0.0,20.54,17.01,22.44,1.91,3.57,6.56,---,---,---,9.37,76.98,81.6,2023-01-06 12:00:00
13,13~14,7.5,---,11.71,37.5,0.11,0.05,28.84,3.54,1.92,---,7.59,---,64.31,1.35,0.08,0.0,21.37,20.36,54.83,2.06,3.55,7.53,---,---,---,9.97,78.09,83.06,2023-01-06 13:00:00
14,14~15,8.38,---,11.18,38.81,0.13,0.08,29.2,3.37,1.94,---,8.44,---,67.84,1.33,0.38,0.0,21.47,27.81,46.15,2.0,3.82,7.91,---,---,---,10.69,78.53,82.49,2023-01-06 14:00:00
15,15~16,9.43,---,11.08,39.81,0.11,0.08,34.32,3.4,1.92,---,8.26,---,65.0,1.34,0.65,0.0,26.06,23.06,28.65,2.09,4.07,7.81,---,---,---,8.14,76.78,82.45,2023-01-06 15:00:00
16,16~17,8.25,---,9.6,38.75,0.14,0.07,33.78,3.79,1.94,---,6.62,---,66.0,1.25,0.64,0.0,29.0,22.84,24.57,2.07,3.72,7.0,---,---,---,9.12,75.75,83.26,2023-01-06 16:00:00
17,17~18,12.07,---,10.81,37.32,0.37,0.09,32.16,3.94,2.17,---,5.78,---,67.25,1.39,0.08,0.0,25.32,23.47,49.16,1.87,3.54,6.03,---,---,---,8.81,76.39,75.89,2023-01-06 17:00:00
18,18~19,9.5,---,9.89,35.18,0.38,0.08,33.05,4.58,1.9,---,5.34,---,61.85,1.24,0.06,0.0,23.84,22.13,39.67,1.94,3.07,6.16,---,---,---,7.35,74.63,75.47,2023-01-06 18:00:00
19,19~20,13.37,---,6.81,33.07,0.38,0.09,32.67,4.17,1.94,---,4.22,---,60.56,1.33,0.08,0.0,25.31,25.65,30.07,1.97,2.95,5.78,---,---,---,5.58,73.58,71.67,2023-01-06 19:00:00
20,20~21,9.69,---,6.11,32.0,0.37,0.08,27.32,3.3,1.95,---,3.72,---,60.38,1.27,0.08,0.0,29.09,26.41,34.04,1.93,2.96,5.47,---,---,---,5.67,70.96,71.04,2023-01-06 20:00:00
21,21~22,9.75,---,5.88,31.25,0.38,0.08,22.1,3.49,1.93,---,3.66,---,58.24,1.5,0.07,0.0,31.39,32.74,82.82,1.94,3.14,5.28,---,---,---,5.64,70.87,69.04,2023-01-06 21:00:00
22,22~23,10.44,---,6.84,29.62,0.37,0.11,10.51,3.6,1.91,---,4.0,---,57.07,1.23,0.07,0.0,37.31,32.1,137.61,1.78,3.1,5.37,---,---,---,6.41,69.9,68.92,2023-01-06 22:00:00
23,23~24,12.56,---,5.64,28.19,0.38,0.11,8.58,2.5,1.9,---,3.62,---,56.28,1.13,0.07,0.0,33.84,37.78,51.27,1.75,3.13,4.82,---,---,---,5.49,70.35,68.66,2023-01-06 23:00:00
0,0~1,12.69,---,5.74,26.94,0.37,0.11,8.61,2.33,1.94,---,3.72,---,55.16,1.18,0.08,0.0,31.13,41.35,34.54,1.75,3.01,4.3,---,---,---,5.51,70.47,65.86,2023-01-07 00:00:00
1,1~2,9.18,---,5.55,27.18,0.38,0.1,8.5,2.3,1.91,---,3.66,---,54.19,1.14,0.06,0.0,24.72,30.56,121.96,1.75,3.04,4.04,---,---,---,5.84,70.34,65.26,2023-01-07 01:00:00
2,2~3,8.07,---,5.83,26.75,0.38,0.12,8.36,2.32,1.92,---,3.68,---,54.43,1.14,0.07,0.0,20.47,19.81,87.1,1.75,3.07,4.06,---,---,---,5.63,70.78,64.7,2023-01-07 02:00:00
3,3~4,6.5,---,5.38,26.82,0.38,0.12,10.12,2.3,1.94,---,3.47,---,54.22,1.12,0.05,0.0,18.59,15.94,22.09,1.75,3.04,3.81,---,---,---,5.78,69.26,64.71,2023-01-07 03:00:00
4,4~5,6.25,---,5.29,27.31,0.38,0.05,10.64,2.32,1.88,---,3.44,---,55.03,1.28,0.08,0.0,18.53,16.41,21.77,1.82,3.0,3.69,---,---,---,5.61,69.88,63.37,2023-01-07 04:00:00
5,5~6,5.56,---,5.68,27.0,0.38,0.01,11.03,2.4,1.85,---,3.28,---,54.48,1.16,0.06,0.0,16.43,15.84,25.19,1.84,3.16,3.37,---,---,---,6.43,70.1,62.26,2023-01-07 05:00:00
6,6~7,4.94,---,5.36,27.12,0.35,0.01,9.81,2.07,1.1,---,3.31,---,54.93,1.02,0.07,0.0,14.48,12.8,50.43,1.78,3.88,3.19,---,---,---,5.57,68.99,62.69,2023-01-07 06:00:00
7,7~8,4.93,---,5.89,28.0,0.11,0.03,12.4,1.83,0.63,---,4.41,---,54.49,1.04,0.07,0.0,14.31,12.6,23.62,1.84,4.09,3.16,---,---,---,5.49,69.62,62.18,2023-01-07 07:00:00
8,8~9,6.57,---,5.78,32.44,0.11,0.03,19.94,1.79,1.88,---,6.25,---,55.76,1.32,0.05,0.0,20.53,15.81,17.22,1.88,3.98,3.41,---,---,---,7.32,70.68,62.94,2023-01-07 08:00:00
9,9~10,7.0,---,6.55,34.38,0.12,0.02,24.62,2.62,1.82,---,6.78,---,59.5,1.12,0.07,0.0,15.66,13.82,34.79,1.81,4.24,4.19,---,---,---,8.63,71.94,64.1,2023-01-07 09:00:00
10,10~11,7.37,---,7.91,34.06,0.1,0.02,25.28,2.69,1.84,---,6.63,---,59.72,2.02,0.06,0.0,15.75,17.38,52.35,1.91,4.35,4.93,---,---,---,10.29,72.83,65.69,2023-01-07 10:00:00
11,11~12,9.56,---,8.93,35.75,0.12,0.05,25.45,3.17,1.86,---,6.84,---,61.5,1.17,0.06,0.0,18.12,17.13,21.69,1.87,3.57,6.87,---,---,---,10.09,73.67,68.16,2023-01-07 11:00:00
12,12~13,9.57,55.97,10.91,34.69,0.11,0.07,23.21,3.1,1.82,---,6.88,---,63.43,1.79,0.07,0.0,19.82,26.25,23.07,2.07,3.62,7.32,---,---,---,10.28,73.82,69.12,2023-01-07 12:00:00
13,13~14,8.25,66.87,11.38,35.56,0.11,0.08,24.74,3.19,1.85,---,6.78,---,64.54,1.49,0.11,0.0,19.44,23.56,48.57,2.12,3.54,6.71,---,---,---,10.1,73.29,70.42,2023-01-07 13:00:00
14,14~15,11.06,68.06,9.41,37.69,0.12,0.09,27.5,3.43,1.81,---,8.71,---,63.69,1.11,0.07,0.0,18.88,21.18,44.05,1.97,3.87,6.85,---,---,---,10.42,73.65,73.66,2023-01-07 14:00:00
15,15~16,6.44,66.63,9.95,37.5,0.11,0.07,28.31,3.72,1.84,---,9.38,---,63.02,1.2,0.07,0.0,22.59,21.16,29.42,1.78,4.18,6.75,---,---,---,9.89,73.91,71.8,2023-01-07 15:00:00
16,16~17,6.75,67.00,10.27,35.93,0.14,0.03,24.03,4.09,1.91,---,8.44,---,63.31,1.2,0.06,0.0,21.28,19.87,38.61,1.84,3.5,5.9,---,---,---,9.75,74.12,71.67,2023-01-07 16:00:00
17,17~18,7.81,64.22,9.29,34.0,0.37,0.1,21.36,4.05,2.1,---,5.09,---,61.31,1.39,0.08,0.0,24.28,21.85,56.72,2.04,3.2,5.6,---,---,---,6.89,71.71,72.73,2023-01-07 17:00:00
18,18~19,8.37,61.85,8.78,33.38,0.38,0.09,16.21,3.75,1.78,---,5.44,---,60.16,1.78,0.06,0.0,24.09,26.09,23.27,2.0,3.06,5.41,---,---,---,6.26,70.81,71.33,2023-01-07 18:00:00
19,19~20,8.75,60.02,7.19,32.12,0.38,0.08,14.08,3.61,1.91,---,4.88,---,58.38,1.41,0.06,0.0,25.13,21.88,27.5,1.96,3.18,5.12,---,---,---,6.0,70.5,68.16,2023-01-07 19:00:00
20,20~21,12.5,58.54,7.69,30.69,0.37,0.1,12.28,3.19,1.93,---,4.65,---,57.69,1.39,0.08,0.0,22.62,29.16,55.06,1.85,3.19,5.03,---,---,---,6.11,68.24,67.0,2023-01-07 20:00:00
21,21~22,16.0,59.00,8.16,30.25,0.38,0.11,11.4,2.07,1.95,---,4.82,---,57.77,1.42,0.06,0.0,29.28,32.4,111.34,1.78,3.21,5.12,---,---,---,5.6,68.59,65.16,2023-01-07 21:00:00
22,22~23,12.57,58.03,6.96,29.13,0.38,0.11,11.24,2.13,1.9,---,4.86,---,57.57,1.66,0.07,0.0,30.57,28.28,110.33,1.75,3.25,5.04,---,---,---,5.67,68.5,64.85,2023-01-07 22:00:00
23,23~24,13.18,57.28,6.99,29.0,0.37,0.12,9.81,2.16,1.92,---,4.66,---,58.13,1.92,0.05,0.0,30.84,28.35,50.62,1.72,3.31,5.06,---,---,---,5.75,69.13,65.12,2023-01-07 23:00:00
0,0~1,15.44,53.44,6.58,28.06,0.38,0.11,8.65,2.16,1.91,---,4.59,---,55.9,1.64,0.07,0.0,26.76,34.45,143.31,1.78,3.23,5.01,---,---,---,5.76,69.04,65.52,2023-01-08 00:00:00
1,1~2,14.75,51.9,6.95,27.62,0.38,0.12,8.29,2.08,2.01,---,4.51,---,55.66,1.17,0.07,0.0,24.97,31.45,70.36,1.72,3.24,5.12,---,---,---,5.84,68.59,65.4,2023-01-08 01:00:00
2,2~3,6.56,52.66,6.88,27.57,0.38,0.13,8.4,2.1,1.98,---,4.59,---,54.5,1.98,0.06,0.0,19.97,21.94,27.97,1.81,3.31,5.03,---,---,---,5.48,69.89,63.83,2023-01-08 02:00:00
3,3~4,5.19,51.81,6.91,27.0,0.38,0.12,9.8,2.08,2.0,---,4.54,---,53.62,1.93,0.06,0.0,16.94,17.55,23.46,1.75,3.16,4.71,---,---,---,5.5,69.28,64.35,2023-01-08 03:00:00
4,4~5,5.19,51.66,6.69,27.06,0.38,0.12,10.51,2.14,1.95,---,4.55,---,53.85,1.93,0.07,0.0,15.53,16.5,35.75,1.84,3.16,4.28,---,---,---,5.78,69.3,63.83,2023-01-08 04:00:00
5,5~6,4.94,52.62,6.71,27.06,0.38,0.09,11.49,2.12,1.88,---,4.66,---,53.41,1.94,0.08,0.0,14.56,14.73,51.91,1.82,3.16,3.85,---,---,---,5.65,69.45,64.19,2023-01-08 05:00:00
6,6~7,4.5,50.78,6.89,27.69,0.35,0.02,9.6,1.78,1.22,---,4.41,---,54.8,1.34,0.06,0.0,15.41,13.66,18.59,1.81,3.49,3.97,---,---,---,6.16,68.8,66.39,2023-01-08 06:00:00
7,7~8,3.68,51.69,6.83,27.69,0.11,0.0,11.26,1.66,0.66,---,4.71,---,55.41,1.67,0.09,0.0,14.16,13.17,18.11,1.81,3.59,3.78,---,---,---,5.65,69.86,66.31,2023-01-08 07:00:00
8,8~9,4.63,53.12,7.47,28.12,0.12,0.0,19.53,1.71,1.85,---,6.97,---,55.13,1.41,0.08,0.0,13.87,14.42,48.28,1.81,3.31,3.97,---,---,---,5.78,70.4,66.25,2023-01-08 08:00:00
9,9~10,5.19,56.35,9.92,29.0,0.11,0.0,30.83,1.72,1.85,---,7.6,---,59.22,1.08,0.08,0.0,14.22,15.78,32.68,1.82,3.19,4.19,---,---,---,5.43,71.43,66.66,2023-01-08 09:00:00
10,10~11,6.56,57.53,9.92,29.31,0.11,0.0,32.27,1.74,1.82,---,6.84,---,62.28,1.13,0.05,0.0,15.4,17.75,21.29,1.78,3.4,4.4,---,---,---,5.66,72.07,69.35,2023-01-08 10:00:00
11,11~12,13.25,59.57,10.07,30.32,0.12,0.0,34.79,1.97,1.85,---,6.32,---,59.96,1.11,0.07,0.0,17.95,16.49,46.5,1.81,3.51,4.47,---,---,---,5.86,72.07,71.53,2023-01-08 11:00:00
12,12~13,13.37,60.68,9.73,30.5,0.11,0.01,36.04,1.8,1.84,---,5.59,---,61.23,1.22,0.07,0.0,22.62,22.1,28.04,1.81,3.47,3.72,---,---,---,5.99,72.98,70.22,2023-01-08 12:00:00
13,13~14,10.32,60.85,10.47,32.0,0.11,0.0,36.77,2.39,1.86,---,6.35,---,63.99,1.31,0.06,0.0,20.12,20.97,21.88,1.82,3.38,4.78,---,---,---,6.43,72.82,74.55,2023-01-08 13:00:00
14,14~15,6.93,63.43,9.88,32.37,0.11,0.0,36.95,2.36,1.99,---,7.83,---,64.29,1.18,0.07,0.0,26.0,22.31,86.32,1.75,3.43,4.94,---,---,---,5.52,73.08,76.06,2023-01-08 14:00:00
15,15~16,5.69,62.88,10.12,31.75,0.12,0.02,29.27,3.13,2.42,---,8.35,---,64.4,1.36,0.07,0.0,17.82,18.2,102.21,1.87,3.39,4.81,---,---,---,5.93,72.85,75.75,2023-01-08 15:00:00
16,16~17,7.94,64.21,10.47,32.06,0.13,0.02,26.44,3.28,2.25,---,6.84,---,64.69,1.43,0.07,0.0,20.29,18.4,31.05,1.88,3.21,3.41,---,---,---,5.51,73.35,73.87,2023-01-08 16:00:00
17,17~18,8.37,60.48,10.24,32.32,0.38,0.08,17.09,3.02,2.43,---,4.48,---,61.66,1.75,0.09,0.0,28.25,19.37,24.93,1.93,3.1,3.37,---,---,---,6.36,73.05,71.01,2023-01-08 17:00:00
18,18~19,9.5,61.74,9.35,31.56,0.37,0.08,14.45,3.19,2.08,---,4.84,---,60.47,1.69,0.06,0.0,25.46,23.07,25.97,1.88,2.98,3.16,---,---,---,5.9,71.89,72.96,2023-01-08 18:00:00
19,19~20,9.32,60.16,8.33,32.06,0.38,0.09,14.47,2.89,1.96,---,4.37,---,57.31,1.31,0.07,0.0,21.72,29.12,43.93,1.78,2.94,3.13,---,---,---,5.87,70.72,72.35,2023-01-08 19:00:00
20,20~21,10.56,59.0,6.82,31.0,0.37,0.09,12.32,2.89,1.98,---,4.35,---,56.52,1.33,0.06,0.0,23.48,27.18,56.37,1.81,2.99,3.12,---,---,---,5.5,70.85,71.96,2023-01-08 20:00:00
21,21~22,14.0,58.37,5.77,30.13,0.38,0.08,11.79,2.92,1.98,---,4.15,---,55.88,1.33,0.06,0.0,24.37,27.07,35.63,1.81,3.06,3.46,---,---,---,5.41,70.9,69.32,2023-01-08 21:00:00
22,22~23,18.56,56.51,6.1,30.37,0.37,0.09,9.85,2.9,2.04,---,4.19,---,57.01,1.33,0.07,0.0,27.81,31.43,34.48,1.82,3.01,3.29,---,---,---,6.51,71.03,68.38,2023-01-08 22:00:00
23,23~24,14.25,56.12,5.94,29.81,0.38,0.09,8.87,2.97,2.04,---,4.53,---,55.84,1.05,0.08,0.0,31.34,28.76,125.44,1.81,3.07,3.31,---,---,---,5.53,70.41,68.5,2023-01-08 23:00:00
0,0~1,13.25,54.69,6.0,29.63,0.38,0.08,9.02,3.51,2.04,---,4.9,---,54.71,1.13,0.05,0.0,35.17,27.53,101.62,1.94,3.09,3.25,---,---,---,6.34,70.37,68.07,2023-01-09 00:00:00
1,1~2,8.38,53.59,6.02,28.5,0.37,0.09,8.72,3.56,2.04,---,4.26,---,55.0,1.12,0.08,0.0,28.16,28.59,38.47,1.87,3.03,3.13,---,---,---,5.68,71.06,69.43,2023-01-09 01:00:00
2,2~3,6.5,53.28,6.01,28.37,0.38,0.1,8.62,3.56,2.04,---,4.12,---,53.63,1.09,0.05,0.0,21.12,19.25,27.96,1.75,3.09,3.4,---,---,---,5.99,70.34,67.05,2023-01-09 02:00:00
3,3~4,8.68,53.44,6.09,28.25,0.38,0.08,10.42,3.54,2.0,---,3.97,---,53.97,1.32,0.07,0.0,19.69,16.21,24.09,1.75,3.04,3.51,---,---,---,6.08,70.74,65.91,2023-01-09 03:00:00
4,4~5,9.32,53.0,5.91,28.44,0.38,0.09,10.84,3.04,1.97,---,3.9,---,54.15,1.12,0.07,0.0,19.16,14.89,67.83,1.81,3.07,3.49,---,---,---,5.51,70.21,65.46,2023-01-09 04:00:00
5,5~6,5.25,53.6,6.01,28.13,0.38,0.03,11.12,2.66,2.04,---,3.75,---,53.95,1.15,0.07,0.0,17.81,14.81,118.5,1.82,3.15,2.94,---,---,---,5.88,70.27,65.64,2023-01-09 05:00:00
6,6~7,4.62,52.9,7.52,28.5,0.34,0.01,9.5,2.07,1.29,---,3.95,---,53.96,1.01,0.12,0.0,15.65,13.56,38.06,1.78,3.91,3.16,---,---,---,5.64,70.15,67.86,2023-01-09 06:00:00
7,7~8,4.06,53.56,8.91,29.62,0.12,0.02,13.01,1.9,0.67,---,4.21,---,54.78,1.03,0.05,0.0,15.85,13.16,17.49,1.78,4.09,3.84,---,---,---,5.78,70.31,69.53,2023-01-09 07:00:00
8,8~9,4.75,57.81,8.32,35.06,0.11,0.01,19.92,2.03,1.84,---,6.6,---,56.56,1.08,0.08,0.0,16.87,16.03,20.44,1.81,3.6,4.69,---,---,---,8.34,73.32,71.77,2023-01-09 08:00:00
9,9~10,5.75,65.51,7.94,36.07,0.12,0.01,25.17,2.46,1.82,---,7.03,---,61.54,1.08,0.09,0.0,22.16,15.44,23.06,2.0,3.59,4.85,---,---,---,10.06,75.69,70.85,2023-01-09 09:00:00
10,10~11,6.13,69.25,8.29,38.12,0.11,0.01,26.82,2.5,1.85,---,7.43,---,63.68,1.43,0.16,0.0,21.4,14.77,46.45,1.91,4.03,5.49,---,---,---,10.51,78.62,74.24,2023-01-09 10:00:00
11,11~12,6.69,69.06,8.65,39.0,0.12,0.06,31.34,3.51,1.84,---,7.13,---,64.16,1.18,0.07,0.0,19.28,15.79,39.4,2.0,3.75,5.66,---,---,---,10.67,78.51,77.51,2023-01-09 11:00:00
12,12~13,6.56,67.4,12.83,38.81,0.11,0.04,28.84,3.27,1.82,---,6.53,---,69.19,1.44,0.06,0.0,18.13,18.37,23.86,1.34,3.63,5.03,---,---,---,9.48,80.58,83.51,2023-01-09 12:00:00
13,13~14,7.5,68.57,12.06,40.25,0.11,0.03,29.07,3.86,1.82,---,7.5,---,69.62,1.18,0.83,0.0,17.63,19.66,22.66,1.28,3.56,5.47,---,---,---,10.75,80.09,86.29,2023-01-09 13:00:00
14,14~15,9.5,70.34,10.61,41.88,0.12,0.04,30.26,3.42,1.88,---,7.6,---,71.91,1.55,0.32,0.0,20.19,19.68,37.95,1.28,3.91,5.88,---,---,---,9.38,81.12,88.97,2023-01-09 14:00:00
15,15~16,7.06,74.38,11.98,41.37,0.12,0.04,28.46,4.25,1.97,---,8.4,---,73.08,1.24,0.06,0.0,25.0,21.39,56.05,1.35,3.63,7.96,---,---,---,9.25,79.79,90.83,2023-01-09 15:00:00
16,16~17,8.75,79.24,10.12,40.32,0.13,0.07,28.36,3.43,2.04,---,6.19,---,68.95,1.25,0.09,0.0,22.54,20.3,29.65,1.31,3.24,7.28,---,---,---,9.81,80.31,91.77,2023-01-09 16:00:00
17,17~18,8.19,74.79,9.66,39.56,0.38,0.1,33.39,3.68,2.48,---,4.69,---,65.5,1.54,0.07,0.0,26.84,20.03,31.64,1.25,2.89,7.19,---,---,---,8.72,77.76,87.89,2023-01-09 17:00:00
18,18~19,15.06,71.4,8.2,36.69,0.39,0.11,44.21,3.94,2.1,---,4.34,---,63.81,1.34,0.08,0.0,24.37,24.26,34.39,1.16,2.71,6.59,---,---,---,7.72,76.95,86.42,2023-01-09 18:00:00
19,19~20,12.31,69.63,7.47,35.0,0.38,0.07,38.95,3.47,1.98,---,3.69,---,62.47,1.34,0.09,0.0,27.38,26.53,65.15,1.22,2.69,6.25,---,---,---,6.05,75.35,83.0,2023-01-09 19:00:00
20,20~21,9.75,62.69,8.26,34.31,0.38,0.09,32.12,2.77,2.01,---,3.72,---,60.51,1.34,0.06,0.0,29.68,33.87,32.73,1.21,2.68,6.32,---,---,---,5.43,74.62,81.52,2023-01-09 20:00:00
21,21~22,11.07,59.09,8.09,33.12,0.37,0.1,27.61,3.02,1.98,---,3.81,---,60.18,1.34,0.08,0.0,28.45,30.0,33.64,1.25,2.76,5.78,---,---,---,6.75,73.31,80.57,2023-01-09 21:00:00
22,22~23,12.93,57.69,7.51,32.5,0.38,0.1,11.34,2.85,2.17,---,3.81,---,59.69,1.3,0.06,0.0,29.47,34.79,43.31,1.19,2.76,5.47,---,---,---,6.22,72.05,79.74,2023-01-09 22:00:00
23,23~24,16.75,54.91,7.58,30.82,0.38,0.1,9.48,2.71,2.2,---,2.93,---,58.56,1.69,0.07,0.0,31.5,31.02,128.42,1.22,2.78,5.5,---,---,---,6.47,72.77,75.6,2023-01-09 23:00:00
0,0~1,14.0,51.5,7.06,29.43,0.38,0.12,8.69,2.59,2.16,---,3.19,---,56.49,1.56,0.06,0.0,36.98,34.54,102.71,1.16,2.72,5.56,---,---,---,5.82,72.56,73.4,2023-01-10 00:00:00
1,1~2,9.44,50.68,7.04,29.32,0.38,0.11,8.41,3.12,2.13,---,2.85,---,55.07,1.31,0.07,0.0,26.74,30.5,28.7,1.06,2.75,5.43,---,---,---,5.82,71.06,73.27,2023-01-10 01:00:00
2,2~3,6.38,51.16,6.9,29.37,0.38,0.12,8.4,3.09,2.11,---,2.65,---,54.51,1.24,0.06,0.0,23.07,22.15,24.54,1.03,2.76,5.04,---,---,---,6.02,71.34,72.11,2023-01-10 02:00:00
3,3~4,9.25,50.81,7.23,29.19,0.38,0.11,10.01,2.97,2.01,---,2.57,---,54.05,1.19,0.07,0.0,19.4,19.47,28.91,1.03,2.76,5.03,---,---,---,6.0,70.93,70.15,2023-01-10 03:00:00
4,4~5,5.5,50.88,6.85,29.44,0.38,0.01,10.64,3.08,2.1,---,2.59,---,54.09,1.27,0.08,0.0,17.72,16.43,68.91,1.13,2.72,3.84,---,---,---,6.2,70.79,69.86,2023-01-10 04:00:00
5,5~6,5.31,51.27,7.01,29.5,0.38,0.02,11.46,2.95,2.09,---,2.5,---,53.2,1.43,0.08,0.0,17.59,15.92,113.56,1.09,2.79,4.19,---,---,---,5.56,70.34,69.68,2023-01-10 05:00:00
6,6~7,5.19,50.53,7.63,30.31,0.35,0.02,9.43,2.45,1.42,---,2.51,---,53.66,1.15,0.07,0.0,16.06,13.97,35.66,1.19,3.37,3.78,---,---,---,5.77,70.57,72.44,2023-01-10 06:00:00
7,7~8,4.68,52.04,8.07,30.75,0.12,0.05,12.3,2.3,0.71,---,3.15,---,53.56,1.06,0.06,0.0,17.48,12.96,18.59,1.22,3.51,3.47,---,---,---,5.74,70.37,71.63,2023-01-10 07:00:00
8,8~9,7.19,56.68,8.94,35.37,0.12,0.03,22.2,1.9,1.92,---,5.96,---,55.52,1.15,0.06,0.0,15.57,13.85,19.74,1.25,3.72,4.06,---,---,---,7.45,72.61,75.92,2023-01-10 08:00:00
9,9~10,9.88,62.45,11.29,37.19,0.11,0.06,30.07,2.36,1.94,---,7.82,---,63.51,1.19,0.08,0.0,15.67,16.27,40.34,1.34,3.68,4.23,---,---,---,10.69,77.03,77.34,2023-01-10 09:00:00
10,10~11,11.06,66.15,11.97,39.38,0.11,0.13,32.59,2.49,1.94,---,9.41,---,64.5,1.49,0.07,0.0,16.03,22.82,49.64,1.59,4.32,3.75,---,---,---,11.94,79.0,82.41,2023-01-10 10:00:00
11,11~12,9.94,70.72,10.25,40.56,0.12,0.08,29.9,2.85,1.92,---,9.59,---,67.68,1.3,0.06,0.0,18.53,23.16,21.28,1.5,3.84,5.53,---,---,---,12.36,80.47,86.91,2023-01-10 11:00:00
